ลำดับ,ปี,เดือนรอบบิล,เขต/สังกัด,สถานี/หน่วยงาน,หมายเลขผู้ใช้ไฟ,ประเภทสถานี,ค่าไฟฟ้า (บาท/เดือน),จำนวนหน่วย (kWh/เดือน)
490,2566,มีนาคม,สวท. (ส่วนกลาง),สวท. (ส่วนกลาง),87060716,สถานี F.M.,"1,306,982.60","235,000.00"
491,2566,เมษายน,สวท. (ส่วนกลาง),สวท. (ส่วนกลาง),87060716,สถานี F.M.,"1,531,014.96","281,000.00"
492,2566,พฤษภาคม,สปข.3,สวท.ลำปาง,556457,สถานี F.M.,"35,908.37","6,897.00"
493,2566,พฤษภาคม,สปข.3,สวท.ฝาง,15279255,สถานี F.M.,"35,295.62","6,778.20"
494,2566,พฤษภาคม,สปข.5,สวท.ชุมพร,20003809255,สถานี F.M.,"15,781.08","2,994.80"
495,2566,พฤษภาคม,สปข.3,สวท.แพร่,5701543393,สถานี F.M.,"22,002.53","3,830.88"
496,2566,พฤษภาคม,สปข.4,สคท.นครสวรรค์,9806 020006256640,สถานี T.V. และสถานี F.M.,"68,711.30","13,256.70"
497,2566,พฤษภาคม,สปข.7,สปข.7 (สำนักงานเขต),23055443,สำนักประชาสัมพันธ์เขต,"158,499.73","28,692.00"
498,2566,พฤษภาคม,สปข.7,สคท.ตราด,8744968,สถานี T.V.,"42,575.01","8,189.50"
499,2566,พฤษภาคม,สปข.7,สคท.ระยอง,6500728234,สถานี T.V.,"62,588.17","13,304.49"
500,2566,พฤษภาคม,สปข.7,สคท.สระแก้ว,23069511,สถานี T.V.,"1,787.60",281.80
501,2566,พฤษภาคม,สปข.7,สวท.จันทบุรี,18314581,สถานี F.M.,"31,132.11","5,971.00"
502,2566,พฤษภาคม,สปข.7,สวท.จันทบุรี,5900796957,สถานี A.M.,"100,120.60","21,093.01"
503,2566,พฤษภาคม,สปข.7,สวท.ตราด,8742222,สถานี F.M.,"31,460.27","5,927.02"
504,2566,พฤษภาคม,สปข.7,สวท.ตราด,6400041332,สถานี A.M.,798.26,89.99
505,2566,พฤษภาคม,สปข.7,สวท.ระยอง,230763,สถานี F.M.,"18,185.71","3,461.00"
506,2566,พฤษภาคม,สปข.7,สวท.สระแก้ว,395166,สถานี F.M.,"28,207.58","5,404.00"
507,2566,พฤษภาคม,สปข.7,สวท.ชลบุรี,8741998,สถานี F.M.,"16,522.28","3,138.50"
508,2566,พฤษภาคม,สปข.7,สวท.ชลบุรี (เขาฉลาก),6201316652,สถานี T.V. และสถานี F.M.,"9,840.17","1,843.00"
509,2566,พฤษภาคม,สปข.3,สวท.น่าน ห้องส่ง,6300578244,สถานี F.M.,"34,704.45","6,615.12"
510,2566,มกราคม,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"132,710.13","23,205.01"
511,2566,มกราคม,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"34,740.66","5,891.66"
512,2566,มกราคม,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"45,641.95","7,758.40"
513,2566,มกราคม,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"26,299.81","4,446.30"
514,2566,มกราคม,สปข.2,สวท.นครพนม,020016070220,สถานี F.M.,"37,827.98","6,818.00"
515,2566,มกราคม,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.10,0.00
516,2566,มกราคม,สปข.2,สวท.ศรีสะเกษ,020012572559,สถานี F.M.,"73,969.36","13,516.13"
517,2566,มกราคม,สปข.2,สวท.สุรินทร์ F.M.,9821020014154422,สถานี F.M.,"17,225.86","4,481.06"
518,2566,มกราคม,สปข.2,สวท.มุกดาหาร F.M.,02001255156,สถานี F.M.,"25,503.84","4,310.00"
519,2566,มกราคม,สปข.2,สวท.มุกดาหาร A.M.,020012157483,สถานี A.M.,"24,772.55","4,292.48"
520,2566,มกราคม,สปข.2,สวท.บุรีรัมย์ F.M.,020013368203,สถานี F.M.,"27,779.03","4,699.60"
521,2566,มกราคม,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"58,160.85","10,566.52"
522,2566,มกราคม,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"77,016.15","13,960.94"
523,2566,มกราคม,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"21,733.20","3,434.00"
524,2566,มกราคม,สปข.2,สวท.อุบลราชธานี (มิเตอร์ใหม่),020024893512,สถานี A.M. และ F.M.,"15,978.89","2,807.99"
525,2566,มกราคม,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"64,435.88","11,747.50"
526,2566,มกราคม,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"21,871.39","3,687.99"
527,2566,มกราคม,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,332.70",171.00
528,2566,มกราคม,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),020022339904,สถานี F.M.,"26,230.30","44,434.40"
529,2566,กุมภาพันธ์,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"148,922.62","24,934.00"
530,2566,กุมภาพันธ์,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"29,840.50","5,052.60"
531,2566,กุมภาพันธ์,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"42,236.16","7,175.20"
532,2566,กุมภาพันธ์,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.10,0.00
533,2566,กุมภาพันธ์,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"24,737.06","4,178.70"
534,2566,กุมภาพันธ์,สปข.2,สวท.นครพนม,020016070220,สถานี F.M.,"35,974.25","6,362.99"
535,2566,กุมภาพันธ์,สปข.2,สวท.ยโสธร,020012572559,สถานี F.M.,"71,400.69","12,850.75"
536,2566,กุมภาพันธ์,สปข.2,สวท.สุรินทร์ F.M.,020014154422,สถานี F.M.,"20,145.78","3,392.50"
537,2566,กุมภาพันธ์,สปข.2,สวท.มุกดาหาร F.M.,020012155156,สถานี F.M.,"24,633.69","4,161.00"
538,2566,กุมภาพันธ์,สปข.2,สวท.มุกดาหาร A.M.,020012157483,สถานี A.M.,"21,757.45","3,668.48"
539,2566,กุมภาพันธ์,สปข.2,สวท.บุรีรัมย์ F.M.,020013368203,สถานี F.M.,"30,423.33","5,152.40"
540,2566,กุมภาพันธ์,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"49,995.54","8,988.48"
541,2566,กุมภาพันธ์,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"72,798.16","13,025.81"
542,2566,กุมภาพันธ์,สปข.2,สวท.อุบลราชธานี (มิเตอร์ใหม่),020024893512,สถานี A.M. และ F.M.,"20,441.37","3,260.47"
543,2566,กุมภาพันธ์,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"19,465.15","3,079.00"
544,2566,กุมภาพันธ์,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"63,898.37","11,324.75"
545,2566,กุมภาพันธ์,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"23,720.92","4,004.70"
546,2566,กุมภาพันธ์,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,280.16",162.00
547,2566,กุมภาพันธ์,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),020022339904,สถานี F.M.,"27,772.03","4,698.40"
548,2566,มีนาคม,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"183,039.93","30,415.00"
549,2566,มีนาคม,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"35,387.76","6,002.50"
550,2566,มีนาคม,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"48,010.60","8,164.00"
551,2566,มีนาคม,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.10,0.00
552,2566,มีนาคม,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"29,078.42","4,922.10"
553,2566,มีนาคม,สปข.2,สวท.นครพนม,020016070220,สถานี F.M.,"40,444.61","7,160.00"
554,2566,มีนาคม,สปข.2,สวท.ยโสธร,020012572559,สถานี F.M.,"79,230.16","14,377.50"
555,2566,มีนาคม,สปข.2,สวท.มุกดาหาร F.M.,020012155156,สถานี F.M.,"27,220.75","4,604.00"
556,2566,มีนาคม,สปข.2,สวท.มุกดาหาร A.M.,020012157483,สถานี A.M.,"17,964.59","3,019.00"
557,2566,มีนาคม,สปข.2,สวท.บุรีรัมย์ F.M.,020013368203,สถานี F.M.,"35,591.59","6,037.40"
558,2566,มีนาคม,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"56,804.51","10,289.16"
559,2566,มีนาคม,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"81,493.19","14,703.50"
560,2566,มีนาคม,สปข.2,สวท.อุบลราชธานี (มิเตอร์ใหม่),020024893512,สถานี A.M. และ F.M.,"23,187.56","3,876.46"
561,2566,มีนาคม,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"22,033.47","3,481.00"
562,2566,มีนาคม,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"68,232.90","12,102.92"
563,2566,มีนาคม,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"29,108.84","4,927.31"
564,2566,มีนาคม,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"12,397.27",122.00
565,2566,มีนาคม,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),020022339904,สถานี F.M.,"25,116.08","4,243.60"
566,2566,เมษายน,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"207,195.66","34,593.00"
567,2566,เมษายน,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"38,277.86","6,497.39"
568,2566,เมษายน,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"49,622.41","8,440.00"
569,2566,เมษายน,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.10,0.00
570,2566,เมษายน,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"32,592.82","5,523.90"
571,2566,เมษายน,สปข.2,สวท.นครพนม,020016070220,สถานี F.M.,"51,266.04","8,938.01"
572,2566,เมษายน,สปข.2,สวท.ยโสธร,02212572559,สถานี F.M.,"91,075.70","16,514.15"
573,2566,เมษายน,สปข.2,สวท.สุรินทร์ F.M.,020014154422,สถานี F.M.,"31,577.34","5,350.01"
574,2566,เมษายน,สปข.2,สวท.มุกดาหาร F.M.,020012155156,สถานี F.M.,"35,898.76","6,090.00"
575,2566,เมษายน,สปข.2,สวท.มุกดาหาร A.M.,02002157483,สถานี A.M.,"26,525.81","4,485.00"
576,2566,เมษายน,สปข.2,สวท.บุรีรัมย์ F.M.,020013368203,สถานี F.M.,"42,258.40","7,179.01"
577,2566,เมษายน,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"50,667.22","9,186.92"
578,2566,เมษายน,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"81,248.20","14,776.13"
579,2566,เมษายน,สปข.2,สวท.อุบลราชธานี (มิเตอร์ใหม่),020024893512,สถานี A.M. และ F.M.,"28,908.93","4,848.33"
580,2566,เมษายน,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"21,816.25","3,447.00"
581,2566,เมษายน,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"79,675.61","14,319.88"
582,2566,เมษายน,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"31,367.61","5,314.10"
583,2566,เมษายน,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,446.59",190.50
584,2566,เมษายน,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),020022339904,สถานี F.M.,"31,292.28","5,301.20"
585,2566,พฤษภาคม,สปข.5,สวท.นครศรีธรรมราช,9104020008910024,สถานี F.M.,"29,694.00","5,692.00"
586,2566,กุมภาพันธ์,สทท. (ส่วนกลาง),สถานีวิทยุโทรทัศน์แห่งประเทศไทย,87099601,สถานี T.V.,"1,295,548.87","232,000.00"
587,2566,มีนาคม,สทท. (ส่วนกลาง),สถานีวิทยุโทรทัศน์แห่งประเทศไทย,87099601,สถานี T.V.,"1,502,521.14","270,000.00"
588,2566,พฤษภาคม,สปข.5,"สทท.,สวท.สุราษฎร์ธานี",23049499,สถานี T.V. และสถานี F.M.,"187,921.95","35,413.00"
589,2566,พฤษภาคม,สปข.1,สวท.กาฬสินธ์,27680313,สถานี F.M.,"30,069.08","5,764.90"
590,2566,พฤษภาคม,สปข.1,"สปข.1 (สำนักงานเขต), สทท.ขอนแก่น",23053657,สำนักประชาสัมพันธ์เขตและ T.V.,"271,560.16","52,275.00"
591,2566,พฤษภาคม,สปข.1,สคว.ขอนแก่น (บ้านสำราญ),23053656,สถานีเครื่องส่งวิทยุ,"10,780.97","2,025.40"
592,2566,พฤษภาคม,สปข.1,สวท.ขอนแก่น,27705124,บ้านพักข้าราชการ,"4,897.84",884.80
593,2566,พฤษภาคม,สปข.1,สวศ.ขอนแก่น,6101485007,สถานี A.M.,"220,056.55","44,055.00"
594,2566,พฤษภาคม,สปข.1,สวท.ขอนแก่น,5701543473,สถานี F.M.,"39,173.88","7,650.92"
595,2566,พฤษภาคม,สปข.1,สคท.ชัยภูมิ (ช่อง 11),23070145,สถานีเครื่องส่ง T.V.,"29,332.00","5,622.00"
596,2566,พฤษภาคม,สปข.1,สวท.ชัยภูมิ,9045380,สถานี F.M.,"45,662.04","8,788.00"
597,2566,พฤษภาคม,สปข.1,สคท.ชุมแพ (ขอนแก่น),15278596,สถานีเครื่องส่ง T.V.,"17,876.75","3,401.10"
598,2566,พฤษภาคม,สปข.1,สวท.ด่านซ้าย (เลย),27707529,สถานี A.M.,"48,531.90","9,344.40"
599,2566,พฤษภาคม,สปข.1,สคท.นครราชสีมา,5701547600,สถานีเครื่องส่ง T.V.,796.76,89.70
600,2566,พฤษภาคม,สปข.1,สคท.นครราชสีมา,5701547600,สถานีเครื่องส่ง T.V.,796.76,89.70
601,2566,พฤษภาคม,สปข.1,สคท.นครราชสีมา (เขายายเที่ยง),5701547600,สถานีเครื่องส่ง T.V.,796.76,89.70
602,2566,พฤษภาคม,สปข.1,สวท.นครราชสีมา,23047663,สถานี A.M. และ F.M.,"101,161.31","20,827.99"
603,2566,กรกฎาคม,สปข.1,สวท.บึงกาฬ,27687593,สถานี F.M.,"27,635.05","5,293.00"
604,2566,พฤษภาคม,สปข.1,สวท.มหาสารคาม,6400046308,สถานี F.M.,"20,490.29","3,907.80"
605,2566,พฤษภาคม,สปข.1,สวท.มหาสารคาม (หนองจิก),6400038861,สถานีเครื่องส่งวิทยุ,"27,490.61","5,265.00"
606,2566,พฤษภาคม,สปข.1,สคท.เลย (อ.ภูเรือ)	,6101485943,สถานีเครื่องส่ง T.V.,"24,514.50","4,688.00"
607,2566,พฤษภาคม,สปข.1,สวท.เลย,27683400,สถานี F.M.,"20,372.68","3,885.00"
608,2566,พฤษภาคม,สปข.1,สวท.เลย,27683400,สถานี F.M.,"20,372.68","3,885.00"
609,2566,พฤษภาคม,สปข.1,สวท.เลย (บ.กำเนิดเพชร),27683401,สถานี A.M.,"95,774.39","20,409.65"
610,2566,พฤษภาคม,สปข.1,สวท.เลย (ภูเรือ),28339328,สถานีเครื่องส่งวิทยุ,"15,405.57","2,922.00"
611,2566,พฤษภาคม,สปข.1,สคท.สกลนคร (ช่อง 11),23048602,สถานีเครื่องส่ง T.V.,"45,079.19","8,675.00"
612,2566,พฤษภาคม,สปข.1,สวท.สกลนคร,28071002,สถานี F.M.,"14,226.72","2,529.00"
613,2566,พฤษภาคม,สปข.1,สวท.สกลนคร,20015372371,สถานีเครื่องส่งวิทยุ,"16,860.12","3,204.00"
614,2566,พฤษภาคม,สปข.1,สคท.บึงกาฬ,27688555,สถานีเครื่องส่ง T.V.,"13,834.99","2,617.50"
615,2566,พฤษภาคม,สปข.1,สวท.หนองคาย,9045557,สถานี F.M.,"20,491.31","3,908.00"
616,2566,พฤษภาคม,สปข.1,สวท.หนองคาย,23074006,สถานี A.M.,"101,479.72","21,185.81"
617,2566,พฤษภาคม,สปข.1,สวท.หนองบัวลำภู,27679759,สถานี F.M.,"62,324.68","12,018.49"
618,2566,พฤษภาคม,สปข.1,สคท.อุดรธานี (อ.เพ็ญ),23072200,สถานีเครื่องส่ง T.V.,"4,637.36",834.30
619,2566,พฤษภาคม,สปข.1,สวท.อุดรธานี,23068242,สถานี F.M.,"38,930.92","7,483.00"
620,2566,พฤษภาคม,สปข.1,สวท.อุดรธานี (บ้านดุง),20016297135,สถานีเครื่องส่ง VOA,"269,204.90","59,221.07"
621,2566,พฤษภาคม,สปข.1,สคท.นครราชสีมา (สนง.),27075840,สถานีเครื่องส่ง T.V.,"35,560.23","27,006.04"
622,2566,พฤษภาคม,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"186,646.23","35,673.00"
623,2566,พฤษภาคม,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"34,565.83","6,636.71"
624,2566,พฤษภาคม,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"44,725.36","8,606.40"
625,2566,พฤษภาคม,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.00,0.00
626,2566,พฤษภาคม,สปข.2,สคท.มุกดาหาร (ช่อง11),020012135407,สถานี T.V.,"29,966.44","5,745.00"
627,2566,พฤษภาคม,สปข.2,สวท.ยโสธร,020012572559,สถานี F.M.,"82,336.70","16,968.67"
628,2566,พฤษภาคม,สปข.2,สวท.สุรินทร์ F.M.,020014154422,สถานี F.M.,"27,549.95","5,276.50"
629,2566,พฤษภาคม,สปข.2,สวท.มุกดาหาร F.M.,020012155156,สถานี F.M.,"33,571.83","6,444.00"
630,2566,พฤษภาคม,สปข.2,สวท.มุกดาหาร A.M.,020012157483,สถานี A.M.,"24,251.44","4,637.00"
631,2566,พฤษภาคม,สปข.2,สวท.บุรีรัมย์ F.M.,020013368203,สถานี F.M.,"36,009.42","6,916.59"
632,2566,พฤษภาคม,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"44,410.67","9,170.90"
633,2566,พฤษภาคม,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"79,102.54","16,119.27"
634,2566,พฤษภาคม,สปข.2,สวท.อุบลราชธานี F.M.,02002489351,สถานี F.M.,"26,056.19","4,765.85"
635,2566,พฤษภาคม,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"19,517.07","3,456.00"
636,2566,พฤษภาคม,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"71,113.25","14,543.57"
637,2566,พฤษภาคม,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"27,659.34","5,297.71"
638,2566,พฤษภาคม,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,275.42",182.50
639,2566,พฤษภาคม,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),020022339904,สถานี F.M.,"26,656.06","5,103.20"
640,2566,เมษายน,สทท. (ส่วนกลาง),สถานีวิทยุโทรทัศน์แห่งประเทศไทย,87099601,สถานี T.V.,"1,501,466.58","276,000.00"
641,2566,พฤษภาคม,สทท. (ส่วนกลาง),สถานีวิทยุโทรทัศน์แห่งประเทศไทย,87099601,สถานี T.V.,"1,481,242.68","304,000.00"
642,2566,มิถุนายน,สปข.3,สวท.พะเยา,5800022382,สถานี F.M.,"30,131.50","5,777.00"
643,2566,มิถุนายน,สปข.3,สวท.ฝาง,15279255,สถานี F.M.,"37,529.00","7,211.20"
644,2566,มิถุนายน,สปข.4,สวท.แม่สอด F.M.,6000172855,สถานี T.V. และสถานี F.M.,"89,692.49","18,673.88"
645,2566,มิถุนายน,สปข.5,สวท.ทุ่งสง,9044 020009051110,สถานี F.M.,"13,314.03","2,516.50"
646,2566,มิถุนายน,สปข.4,สวท.กำแพงเพชร,9089 020009497880,สถานี F.M.,"26,914.48","5,153.30"
647,2566,มิถุนายน,สปข.4,สคท.ตาก,9804 020010315402  ,สถานี T.V. และสถานี F.M.,"52,251.00","10,066.00"
648,2566,มิถุนายน,สปข.5,สวท.ชุมพร,20003809255,สถานี F.M.,"15,638.09","2,975.80"
649,2566,มิถุนายน,สปข.4,สคท.นครสวรรค์,9806 020006256640,สถานี T.V. และสถานี F.M.,"63,959.28","12,335.40"
650,2566,มิถุนายน,สปข.7,สปข.7 (สำนักงานเขต),23055443,สำนักประชาสัมพันธ์เขต,"130,478.45","23,040.00"
651,2566,มิถุนายน,สปข.7,สคท.ตราด,8744968,สถานี T.V.,"37,200.44","7,147.50"
652,2566,มิถุนายน,สปข.7,สคท.ระยอง,6500728234,สถานี T.V.,"62,117.92","12,848.60"
653,2566,มิถุนายน,สปข.7,สคท.สระแก้ว,23069511,สถานี T.V.,"1,772.59",278.89
654,2566,มิถุนายน,สปข.3,สวท.ลำปาง,556457,สถานี F.M.,"35,392.57","6,797.00"
655,2566,มิถุนายน,สปข.7,สวท.จันทบุรี,18314581,สถานี F.M.,"28,156.00","5,394.00"
656,2566,มิถุนายน,สปข.7,สวท.จันทบุรี,5900796957,สถานี A.M.,"93,791.76","19,031.99"
657,2566,มิถุนายน,สปข.7,สวท.ตราด,8742222,สถานี F.M.,"32,095.35","6,215.40"
658,2566,มิถุนายน,สปข.7,สวท.ระยอง,230763,สถานี F.M.,"18,417.81","3,506.00"
659,2566,มิถุนายน,สปข.7,สวท.สระแก้ว,395166,สถานี F.M.,"26,918.29","5,154.00"
660,2566,มิถุนายน,สปข.7,สวท.ชลบุรี,8741998,สถานี F.M.,"17,054.07","3,241.60"
661,2566,พฤษภาคม,สนข.,สำนักข่าว,23056498,สถานี T.V.,"266,026.93","51,000.00"
662,2566,มิถุนายน,สปข.3,สวท.แพร่,5071543393,สถานี F.M.,"21,018.95","4,010.30"
663,2566,มิถุนายน,สปข.3,สวท.แม่สะเรียง เครื่องส่ง,27058897,สถานี F.M.,"11,139.97","2,095.00"
664,2566,มิถุนายน,สปข.3,สวท.น่าน ห้องส่ง,6300578244,สถานี F.M.,"38,166.26","7,334.75"
665,2566,มิถุนายน,สปข.1,สวท.กาฬสินธ์,27680313,สถานี F.M.,"27,766.06","5,318.40"
666,2566,มิถุนายน,สปข.1,"สปข.1 (สำนักงานเขต), สทท.ขอนแก่น",23053657,สำนักประชาสัมพันธ์เขตและ T.V.,"249,652.88","47,520.00"
667,2566,มิถุนายน,สปข.2,สปข.2 (สำนักงานเขต),020012727149,สำนักประชาสัมพันธ์เขต,"174,003.66","32,421.00"
668,2566,มิถุนายน,สปข.2,สคท.สุรินทร์,020014158104,สถานี T.V.,"33,462.99","6,422.90"
669,2566,มิถุนายน,สปข.2,สคท.อุบลราชธานี,020012632147,สถานี T.V.,"42,393.97","8,154.00"
670,2566,มิถุนายน,สปข.2,สคท.ร้อยเอ็ด,020012586335,สถานี T.V.,334.10,0.00
671,2566,มิถุนายน,สปข.2,สคท.มุกดาหาร,020012135407,สถานี T.V.,"29,260.83","5,608.20"
672,2566,ตุลาคม,สปข.2,สวท.นครพนม,020016070220,สถานี F.M.,"36,593.35","8,671.00"
673,2566,มิถุนายน,สปข.2,สวท.ยโสธร,020012572559,สถานี F.M.,"79,401.82","16,283.74"
674,2566,มิถุนายน,สปข.2,สวท.สุรินทร์ F.M.,020014154422,สถานี F.M.,"23,624.74","4,515.50"
675,2566,มิถุนายน,สปข.2,สวท.มุกดาหาร F.M.,020012155156,สถานี F.M.,"31,420.97","6,027.00"
676,2566,มิถุนายน,สปข.2,สวท.มุกดาหาร A.M.,020012157483,สถานี A.M.,"22,456.49","4,289.00"
677,2566,มิถุนายน,สปข.2,สวท.สุรินทร์ F.M.,020013368203,สถานี F.M.,"34,701.42","6,075.99"
678,2566,มิถุนายน,สปข.2,สวท.บุรีรัมย์ A.M.,020013373191,สถานี A.M.,"42,390.33","8,692.18"
679,2566,มิถุนายน,สปข.2,สวท.อุบลราชธานี A.M.,020012632012,สถานี A.M.,"72,343.76","14,318.35"
680,2566,มิถุนายน,สปข.2,สวท.อุบลราชธานี (มิเตอร์ใหม่),0200248593512,สถานี A.M. และ F.M.,"22,792.09","4,322.35"
681,2566,มิถุนายน,สปข.2,สวท.อุบลราชธานี F.M.,020025876801,สถานี F.M.,"16,144.27","2,865.00"
682,2566,มิถุนายน,สปข.2,สวท.อำนาจเจริญ F.M.,020012195800,สถานี F.M.,"67,322.14","13,704.52"
683,2566,มิถุนายน,สปข.2,สวท.ร้อยเอ็ด F.M.,020012631654,สถานี F.M.,"26,148.53","5,004.80"
684,2566,มิถุนายน,สปข.2,สวศ.อุบลราชธานี A.M.,020012733144,สถานี A.M.,"1,020.10",133.00
685,2566,มิถุนายน,สปข.2,สวท.ศรีสะเกษ (แห่งใหม่),020022339904,สถานี F.M.,"26,846.91","5,140.00"
686,2566,มิถุนายน,สปข.1,สคว.ขอนแก่น (บ้านสำราญ),23053656,สถานีเครื่องส่งวิทยุ,"11,002.77","2,068.40"
687,2566,มิถุนายน,สปข.1,สวท.ขอนแก่น,27705124,บ้านพักข้าราชการ,"4,256.70",760.50
688,2566,มิถุนายน,สปข.1,สวศ.ขอนแก่น,6101485007,สถานี A.M.,"227,059.16","45,253.99"
689,2566,มิถุนายน,สปข.1,สวท.ขอนแก่น,5701543473,สถานี F.M.,"39,359.48","7,181.83"
690,2566,มิถุนายน,สปข.1,สคท.ชัยภูมิ (ช่อง 11),23070145,สถานีเครื่องส่ง T.V.,"27,448.84","5,256.90"
691,2566,มิถุนายน,สปข.1,สวท.ชัยภูมิ,9045380,สถานี F.M.,"41,824.52","8,044.00"
692,2566,มิถุนายน,สปข.1,สคท.ชุมแพ (ขอนแก่น),15278596,สถานีเครื่องส่ง T.V.,"17,780.81","3,382.50"
693,2566,มิถุนายน,สปข.1,สวท.ด่านซ้าย (เลย),27707529,สถานี A.M.,"46,471.27","8,944.89"
694,2566,มิถุนายน,สปข.1,สคท.นครราชสีมา,5701547600,สถานีเครื่องส่ง T.V.,801.41,90.60
695,2566,มิถุนายน,สปข.1,สวท.นครราชสีมา,23047663,สถานี A.M. และ F.M.,"93,963.91","19,056.00"
696,2566,มิถุนายน,สปข.1,สวท.บึงกาฬ,27687593,สถานี F.M.,"25,882.89","4,953.30"
697,2566,มิถุนายน,สปข.1,สวท.มหาสารคาม,6400046308,สถานี F.M.,"16,600.68","3,153.70"
698,2566,มิถุนายน,สปข.1,สวท.มหาสารคาม (หนองจิก),6400038861,สถานีเครื่องส่งวิทยุ,"25,481.10","4,875.40"
699,2566,มิถุนายน,สปข.1,สคท.เลย (อ.ภูเรือ)	,6101485943,สถานีเครื่องส่ง T.V.,"24,625.44","4,709.51"
700,2566,มิถุนายน,สปข.1,สวท.เลย,27683400,สถานี F.M.,"19,323.60","3,681.61"
701,2566,มิถุนายน,สปข.1,สวท.เลย (บ.กำเนิดเพชร),27683401,สถานี A.M.,"91,504.29","19,353.53"
702,2566,มิถุนายน,สปข.1,สวท.เลย (ภูเรือ),28339328,สถานีเครื่องส่งวิทยุ,"14,487.47","2,744.00"
